label,url,filepath,width,height
airplanes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSikNirRqJROZmr9OZ6x8OIu5R95t2J9EU6mObcUlg4MIw5BXHS1QpUTE9U&s,D:\Coding\Sem6 Assignments\scalable_data_collection\A_ImageDataset\data\airplanes\airplanes_1.jpg,89,46
airplanes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbqJmvewq_v97_pqQRRHcchDi8Um__0K5sZU1bqrl6yaAj4YgU1b7i8zw-&s,D:\Coding\Sem6 Assignments\scalable_data_collection\A_ImageDataset\data\airplanes\airplanes_2.jpg,64,46
airplanes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTywJyZA0hk-_2NUYv5-zrqOfwxl60NoX-kqm7T9Og326cv2VfWXQDIcRaY&s,D:\Coding\Sem6 Assignments\scalable_data_collection\A_ImageDataset\data\airplanes\airplanes_3.jpg,46,46
airplanes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRa93vVlPNaNMcrotlGVJmjTIR8jcXejrpeXA&s,D:\Coding\Sem6 Assignments\scalable_data_collection\A_ImageDataset\data\airplanes\airplanes_4.jpg,311,162
airplanes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9drqlJ0DdS8-jxgpH6Uz1CKZKf8oheX0rsQ&s,D:\Coding\Sem6 Assignments\scalable_data_collection\A_ImageDataset\data\airplanes\airplanes_5.jpg,300,168
airplanes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSITrDwkHxYnDvQ33WS304O3DjybEP9xiLxyA&s,D:\Coding\Sem6 Assignments\scalable_data_collection\A_ImageDataset\data\airplanes\airplanes_6.jpg,300,168
airplanes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXUjMToVZHk0lPABNLj0aVPn0A2UU84qxwIQ&s,D:\Coding\Sem6 Assignments\scalable_data_collection\A_ImageDataset\data\airplanes\airplanes_7.jpg,259,194
airplanes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7LQ_OlA-yc9IlmU75igak-tNXVXVm_brJLA&s,D:\Coding\Sem6 Assignments\scalable_data_collection\A_ImageDataset\data\airplanes\airplanes_8.jpg,275,183
airplanes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhA9BGFikezmLH6xuw11MxQehafJwANCCyyQ&s,D:\Coding\Sem6 Assignments\scalable_data_collection\A_ImageDataset\data\airplanes\airplanes_9.jpg,299,168
airplanes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwd0sYBHn9mLs7tkHkHpynRvUUcBtzdCz6dg&s,D:\Coding\Sem6 Assignments\scalable_data_collection\A_ImageDataset\data\airplanes\airplanes_10.jpg,225,225
